ID,DateTime,YEAR,REPORT_PERIOD,MONTH_RIDERSHIP,LAST 12 MONTHS,CHANGE_%
1,01/01/2005 12:00:00 AM,2005,05-Jan,4762992,47485316,
2,02/01/2005 12:00:00 AM,2005,05-Feb,4741322,48000983,1.09%
3,03/01/2005 12:00:00 AM,2005,05-Mar,5081793,49053596,2.19%
4,04/01/2005 12:00:00 AM,2005,05-Apr,4579192,49002673,-0.10%
5,05/01/2005 12:00:00 AM,2005,05-May,4119390,49179836,0.36%
6,06/01/2005 12:00:00 AM,2005,05-Jun,4099550,49712873,1.08%
7,07/01/2005 12:00:00 AM,2005,05-Jul,3614401,49492002,-0.44%
8,08/01/2005 12:00:00 AM,2005,05-Aug,3321149,50107966,1.24%
9,09/01/2005 12:00:00 AM,2005,05-Sep,5136851,52309738,4.39%
10,10/01/2005 12:00:00 AM,2005,05-Oct,5100175,52931804,1.19%
11,11/01/2005 12:00:00 AM,2005,05-Nov,5196667,53792045,1.63%
12,12/01/2005 12:00:00 AM,2005,05-Dec,4659588,54413071,0.09%
13,01/01/2006 12:00:00 AM,2006,06-Jan,6007666,55657745,2.29%
14,02/01/2006 12:00:00 AM,2006,06-Feb,4878475,55794898,0.25%
15,03/01/2006 12:00:00 AM,2006,06-Mar,4886878,55599983,-0.35%
16,04/01/2006 12:00:00 AM,2006,06-Apr,4446364,55467155,-0.24%
17,05/01/2006 12:00:00 AM,2006,06-May,4422434,55770198,0.55%
18,06/01/2006 12:00:00 AM,2006,06-Jun,4433986,56104634,0.60%
19,07/01/2006 12:00:00 AM,2006,06-Jul,3626766,56116998,0.02%
20,08/01/2006 12:00:00 AM,2006,06-Aug,3668662,56464512,0.62%
21,09/01/2006 12:00:00 AM,2006,06-Sep,5253399,56581059,0.21%
22,10/01/2006 12:00:00 AM,2006,06-Oct,5370731,56851616,0.48%
23,11/01/2006 12:00:00 AM,2006,06-Nov,5513392,57168341,0.56%
24,12/01/2006 12:00:00 AM,2006,06-Dec,4942746,57451499,0.50%
25,01/01/2007 12:00:00 AM,2007,07-Jan,6274095,57717928,0.46%
26,02/01/2007 12:00:00 AM,2007,07-Feb,5095641,57935094,0.38%
27,03/01/2007 12:00:00 AM,2007,07-Mar,5274138,58322354,0.67%
28,04/01/2007 12:00:00 AM,2007,07-Apr,4971547,58847536,0.90%
29,05/01/2007 12:00:00 AM,2007,07-May,4748729,59173831,0.55%
30,06/01/2007 12:00:00 AM,2007,07-Jun,4577480,59317326,0.24%
31,07/01/2007 12:00:00 AM,2007,07-Jul,4093429,59783989,0.79%
32,08/01/2007 12:00:00 AM,2007,07-Aug,3836114,59951441,0.28%
33,09/01/2007 12:00:00 AM,2007,07-Sep,5871617,60569659,1.03%
34,10/01/2007 12:00:00 AM,2007,07-Oct,5879279,61078206,0.84%
35,11/01/2007 12:00:00 AM,2007,07-Nov,5543229,61108043,0.05%
36,12/01/2007 12:00:00 AM,2007,07-Dec,5739157,61904454,1.30%
37,01/01/2008 12:00:00 AM,2008,08-Jan,5802537,61432896,-0.76%
38,02/01/2008 12:00:00 AM,2008,08-Feb,5984866,62322121,1.45%
39,03/01/2008 12:00:00 AM,2008,08-Mar,5895685,62943668,1%
40,04/01/2008 12:00:00 AM,2008,08-Apr,5796306,63768427,1.31%
41,05/01/2008 12:00:00 AM,2008,08-May,5003320,64023018,0.40%
42,06/01/2008 12:00:00 AM,2008,08-Jun,4879164,64324702,0.47%
43,07/01/2008 12:00:00 AM,2008,08-Jul,4053480,64284753,-0.06%
44,08/01/2008 12:00:00 AM,2008,08-Aug,3826815,64275454,-0.01%
45,09/01/2008 12:00:00 AM,2008,08-Sep,6514988,64918825,1%
46,10/01/2008 12:00:00 AM,2008,08-Oct,5857939,64897485,-0.03%
47,11/01/2008 12:00:00 AM,2008,08-Nov,6169871,65524127,0.97%
48,12/01/2008 12:00:00 AM,2008,08-Dec,5869371,65654341,0.20%
49,01/01/2009 12:00:00 AM,2009,09-Jan,6014632,65866436,0.32%
50,02/01/2009 12:00:00 AM,2009,09-Feb,6249693,66131263,0.40%
51,03/01/2009 12:00:00 AM,2009,09-Mar,6015866,66251444,0.18%
52,04/01/2009 12:00:00 AM,2009,09-Apr,5866276,66321414,0.11%
53,05/01/2009 12:00:00 AM,2009,09-May,4899642,66217736,-0.16%
54,06/01/2009 12:00:00 AM,2009,09-Jun,4971058,66309629,0.14%
55,07/01/2009 12:00:00 AM,2009,09-Jul,4040838,66296987,-0.02%
56,08/01/2009 12:00:00 AM,2009,09-Aug,3908869,66379041,0.12%
57,09/01/2009 12:00:00 AM,2009,09-Sep,6767282,66631335,0.38%
58,10/01/2009 12:00:00 AM,2009,09-Oct,6477273,67250670,0.93%
59,11/01/2009 12:00:00 AM,2009,09-Nov,6688485,67769284,0.77%
60,12/01/2009 12:00:00 AM,2009,09-Dec,6593668,68493581,1.07%
61,01/01/2010 12:00:00 AM,2010,10-Jan,7182899,69661849,1.71%
62,02/01/2010 12:00:00 AM,2010,10-Feb,6964924,70377080,1.03%
63,03/01/2010 12:00:00 AM,2010,10-Mar,7159066,71520280,1.62%
64,04/01/2010 12:00:00 AM,2010,10-Apr,6853940,72507944,1.38%
65,05/01/2010 12:00:00 AM,2010,10-May,5099966,72708269,0.28%
66,06/01/2010 12:00:00 AM,2010,10-Jun,5059409,72796620,0.12%
67,07/01/2010 12:00:00 AM,2010,10-Jul,4286807,73042589,0.34%
68,08/01/2010 12:00:00 AM,2010,10-Aug,3986463,73120183,0.11%
69,09/01/2010 12:00:00 AM,2010,10-Sep,7499797,73852698,1%
70,10/01/2010 12:00:00 AM,2010,10-Oct,7422763,74798188,1.28%
71,11/01/2010 12:00:00 AM,2010,10-Nov,7543842,75653545,1.14%
72,12/01/2010 12:00:00 AM,2010,10-Dec,7262323,76322199,0.88%
73,01/01/2011 12:00:00 AM,2011,11-Jan,7672440,76811740,0.64%
74,02/01/2011 12:00:00 AM,2011,11-Feb,7320724,77167540,0.46%
75,03/01/2011 12:00:00 AM,2011,11-Mar,7409224,77417697,0.32%
76,04/01/2011 12:00:00 AM,2011,11-Apr,7286880,77850637,0.56%
77,05/01/2011 12:00:00 AM,2011,11-May,5538729,78289400,0.56%
78,06/01/2011 12:00:00 AM,2011,11-Jun,5418889,78648881,0.46%
79,07/01/2011 12:00:00 AM,2011,11-Jul,4550512,78912586,0.34%
80,08/01/2011 12:00:00 AM,2011,11-Aug,4437755,79363877,0.57%
81,09/01/2011 12:00:00 AM,2011,11-Sep,7630852,79494932,0.17%
82,10/01/2011 12:00:00 AM,2011,11-Oct,7742752,79814921,0.40%
83,11/01/2011 12:00:00 AM,2011,11-Nov,7748313,80019391,0.26%
84,12/01/2011 12:00:00 AM,2011,11-Dec,7534489,80291558,0.34%
85,01/01/2012 12:00:00 AM,2012,12-Jan,7550021,80169138,-0.15%
86,02/01/2012 12:00:00 AM,2012,12-Feb,7533927,80382341,0.27%
87,03/01/2012 12:00:00 AM,2012,12-Mar,7597013,80570131,0.23%
88,04/01/2012 12:00:00 AM,2012,12-Apr,7426916,80710167,0.17%
89,05/01/2012 12:00:00 AM,2012,12-May,5775161,80946599,0.29%
90,06/01/2012 12:00:00 AM,2012,12-Jun,5597637,81125347,0.22%
